GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
1400000US42001031402,42001031402,"Census Tract 314.02, Adams County, Pennsylvania",2187,100.0,2158,98.7,2066,94.5,38,1.7,5,0.2,2,0.1,0,0.0,0,0.0,3,0.1,41,1.9,0,0.0,8,0.4,29,1.3,1,0.0,27,1.2,0,0.0,1,0.0,2187,100.0,25,1.1,16,0.7,2,0.1,0,0.0,7,0.3,2162,98.9,2187,100.0,2158,98.7,19,0.9,2139,97.8,29,1.3,6,0.3,23,1.1
1400000US42001031501,42001031501,"Census Tract 315.01, Adams County, Pennsylvania",3315,100.0,3253,98.1,3012,90.9,146,4.4,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1,63,1.9,0,0.0,30,0.9,62,1.9,10,0.3,49,1.5,0,0.0,3,0.1,3315,100.0,123,3.7,31,0.9,27,0.8,19,0.6,46,1.4,3192,96.3,3315,100.0,3253,98.1,110,3.3,3143,94.8,62,1.9,13,0.4,49,1.5
1400000US42001031502,42001031502,"Census Tract 315.02, Adams County, Pennsylvania",4305,100.0,4179,97.1,3429,79.7,295,6.9,23,0.5,13,0.3,0,0.0,0,0.0,10,0.2,79,1.8,0,0.0,353,8.2,126,2.9,19,0.4,94,2.2,3,0.1,10,0.2,4305,100.0,711,16.5,576,13.4,82,1.9,4,0.1,49,1.1,3594,83.5,4305,100.0,4179,97.1,679,15.8,3500,81.3,126,2.9,32,0.7,94,2.2
1400000US42001031600,42001031600,"Census Tract 316, Adams County, Pennsylvania",6887,100.0,6809,98.9,6676,96.9,56,0.8,16,0.2,15,0.2,0,0.0,0,0.0,1,0.0,32,0.5,0,0.0,29,0.4,78,1.1,3,0.0,66,1.0,3,0.0,6,0.1,6887,100.0,109,1.6,27,0.4,30,0.4,11,0.2,41,0.6,6778,98.4,6887,100.0,6809,98.9,103,1.5,6706,97.4,78,1.1,6,0.1,72,1.0
1400000US42001031700,42001031700,"Census Tract 317, Adams County, Pennsylvania",2879,100.0,2836,98.5,2764,96.0,33,1.1,7,0.2,6,0.2,0,0.0,0,0.0,1,0.0,17,0.6,0,0.0,15,0.5,43,1.5,9,0.3,30,1.0,0,0.0,4,0.1,2879,100.0,60,2.1,38,1.3,11,0.4,0,0.0,11,0.4,2819,97.9,2879,100.0,2836,98.5,49,1.7,2787,96.8,43,1.5,11,0.4,32,1.1
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",6600,100.0,6513,98.7,4345,65.8,2057,31.2,13,0.2,6,0.1,0,0.0,0,0.0,7,0.1,73,1.1,2,0.0,23,0.3,87,1.3,7,0.1,74,1.1,0,0.0,6,0.1,6600,100.0,161,2.4,40,0.6,37,0.6,10,0.2,74,1.1,6439,97.6,6600,100.0,6513,98.7,151,2.3,6362,96.4,87,1.3,10,0.2,77,1.2
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",3629,100.0,3528,97.2,2706,74.6,580,16.0,8,0.2,5,0.1,0,0.0,0,0.0,3,0.1,171,4.7,2,0.1,61,1.7,101,2.8,12,0.3,75,2.1,2,0.1,12,0.3,3629,100.0,119,3.3,25,0.7,30,0.8,10,0.3,54,1.5,3510,96.7,3629,100.0,3528,97.2,106,2.9,3422,94.3,101,2.8,13,0.4,88,2.4
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",616,100.0,602,97.7,466,75.6,96,15.6,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,39,6.3,0,0.0,0,0.0,14,2.3,2,0.3,9,1.5,0,0.0,3,0.5,616,100.0,10,1.6,3,0.5,2,0.3,1,0.2,4,0.6,606,98.4,616,100.0,602,97.7,7,1.1,595,96.6,14,2.3,3,0.5,11,1.8
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",2256,100.0,2208,97.9,307,13.6,1861,82.5,7,0.3,3,0.1,0,0.0,0,0.0,4,0.2,24,1.1,0,0.0,9,0.4,48,2.1,5,0.2,32,1.4,0,0.0,11,0.5,2256,100.0,32,1.4,1,0.0,16,0.7,3,0.1,12,0.5,2224,98.6,2256,100.0,2208,97.9,29,1.3,2179,96.6,48,2.1,3,0.1,45,2.0
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",2604,100.0,2558,98.2,1373,52.7,1003,38.5,7,0.3,1,0.0,0,0.0,0,0.0,6,0.2,169,6.5,0,0.0,6,0.2,46,1.8,6,0.2,27,1.0,1,0.0,12,0.5,2604,100.0,61,2.3,13,0.5,18,0.7,5,0.2,25,1.0,2543,97.7,2604,100.0,2558,98.2,53,2.0,2505,96.2,46,1.8,8,0.3,38,1.5
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",2488,100.0,2424,97.4,1518,61.0,86,3.5,9,0.4,0,0.0,0,0.0,0,0.0,9,0.4,766,30.8,1,0.0,44,1.8,64,2.6,7,0.3,55,2.2,1,0.0,1,0.0,2488,100.0,95,3.8,21,0.8,5,0.2,9,0.4,60,2.4,2393,96.2,2488,100.0,2424,97.4,87,3.5,2337,93.9,64,2.6,8,0.3,56,2.3
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",3694,100.0,3620,98.0,3089,83.6,175,4.7,9,0.2,2,0.1,0,0.0,0,0.0,7,0.2,325,8.8,0,0.0,22,0.6,74,2.0,9,0.2,62,1.7,1,0.0,2,0.1,3694,100.0,79,2.1,26,0.7,18,0.5,8,0.2,27,0.7,3615,97.9,3694,100.0,3620,98.0,71,1.9,3549,96.1,74,2.0,8,0.2,66,1.8
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",2392,100.0,2350,98.2,1965,82.1,146,6.1,6,0.3,5,0.2,0,0.0,0,0.0,1,0.0,193,8.1,1,0.0,39,1.6,42,1.8,3,0.1,34,1.4,0,0.0,5,0.2,2392,100.0,78,3.3,42,1.8,6,0.3,10,0.4,20,0.8,2314,96.7,2392,100.0,2350,98.2,78,3.3,2272,95.0,42,1.8,0,0.0,42,1.8
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",2969,100.0,2876,96.9,2022,68.1,633,21.3,2,0.1,2,0.1,0,0.0,0,0.0,0,0.0,183,6.2,1,0.0,35,1.2,93,3.1,7,0.2,77,2.6,1,0.0,8,0.3,2969,100.0,86,2.9,45,1.5,12,0.4,5,0.2,24,0.8,2883,97.1,2969,100.0,2876,96.9,78,2.6,2798,94.2,93,3.1,8,0.3,85,2.9
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",1707,100.0,1680,98.4,65,3.8,1610,94.3,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1,2,0.1,0,0.0,1,0.1,27,1.6,3,0.2,21,1.2,0,0.0,3,0.2,1707,100.0,15,0.9,2,0.1,4,0.2,1,0.1,8,0.5,1692,99.1,1707,100.0,1680,98.4,12,0.7,1668,97.7,27,1.6,3,0.2,24,1.4
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",2057,100.0,2014,97.9,380,18.5,1593,77.4,5,0.2,3,0.1,0,0.0,0,0.0,2,0.1,21,1.0,0,0.0,15,0.7,43,2.1,1,0.0,37,1.8,2,0.1,3,0.1,2057,100.0,29,1.4,10,0.5,7,0.3,4,0.2,8,0.4,2028,98.6,2057,100.0,2014,97.9,21,1.0,1993,96.9,43,2.1,8,0.4,35,1.7
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",1202,100.0,1166,97.0,48,4.0,1106,92.0,8,0.7,1,0.1,0,0.0,0,0.0,7,0.6,3,0.2,0,0.0,1,0.1,36,3.0,5,0.4,22,1.8,2,0.2,7,0.6,1202,100.0,19,1.6,7,0.6,4,0.3,2,0.2,6,0.5,1183,98.4,1202,100.0,1166,97.0,15,1.2,1151,95.8,36,3.0,4,0.3,32,2.7
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",2106,100.0,2056,97.6,896,42.5,1074,51.0,6,0.3,3,0.1,0,0.0,0,0.0,3,0.1,76,3.6,0,0.0,4,0.2,50,2.4,1,0.0,39,1.9,1,0.0,9,0.4,2106,100.0,26,1.2,6,0.3,9,0.4,3,0.1,8,0.4,2080,98.8,2106,100.0,2056,97.6,21,1.0,2035,96.6,50,2.4,5,0.2,45,2.1
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",1122,100.0,1114,99.3,4,0.4,1108,98.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,1,0.1,8,0.7,0,0.0,6,0.5,0,0.0,2,0.2,1122,100.0,9,0.8,4,0.4,0,0.0,3,0.3,2,0.2,1113,99.2,1122,100.0,1114,99.3,5,0.4,1109,98.8,8,0.7,4,0.4,4,0.4
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",2341,100.0,2283,97.5,1649,70.4,546,23.3,3,0.1,2,0.1,0,0.0,0,0.0,1,0.0,59,2.5,1,0.0,25,1.1,58,2.5,4,0.2,47,2.0,2,0.1,5,0.2,2341,100.0,30,1.3,16,0.7,3,0.1,5,0.2,6,0.3,2311,98.7,2341,100.0,2283,97.5,25,1.1,2258,96.5,58,2.5,5,0.2,53,2.3
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",1274,100.0,1236,97.0,1056,82.9,155,12.2,2,0.2,1,0.1,0,0.0,0,0.0,1,0.1,16,1.3,0,0.0,7,0.5,38,3.0,1,0.1,32,2.5,0,0.0,5,0.4,1274,100.0,28,2.2,12,0.9,10,0.8,1,0.1,5,0.4,1246,97.8,1274,100.0,1236,97.0,26,2.0,1210,95.0,38,3.0,2,0.2,36,2.8
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",2197,100.0,2163,98.5,1763,80.2,127,5.8,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,257,11.7,0,0.0,15,0.7,34,1.5,1,0.0,32,1.5,0,0.0,1,0.0,2197,100.0,64,2.9,12,0.5,10,0.5,6,0.3,36,1.6,2133,97.1,2197,100.0,2163,98.5,62,2.8,2101,95.6,34,1.5,2,0.1,32,1.5
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",2997,100.0,2932,97.8,2288,76.3,132,4.4,2,0.1,2,0.1,0,0.0,0,0.0,0,0.0,492,16.4,2,0.1,16,0.5,65,2.2,10,0.3,52,1.7,0,0.0,3,0.1,2997,100.0,90,3.0,22,0.7,4,0.1,4,0.1,60,2.0,2907,97.0,2997,100.0,2932,97.8,76,2.5,2856,95.3,65,2.2,14,0.5,51,1.7
1400000US42003070600,42003070600,"Census Tract 706, Allegheny County, Pennsylvania",2082,100.0,2049,98.4,1724,82.8,55,2.6,3,0.1,3,0.1,0,0.0,0,0.0,0,0.0,249,12.0,0,0.0,18,0.9,33,1.6,3,0.1,27,1.3,0,0.0,3,0.1,2082,100.0,65,3.1,8,0.4,8,0.4,4,0.2,45,2.2,2017,96.9,2082,100.0,2049,98.4,63,3.0,1986,95.4,33,1.6,2,0.1,31,1.5
1400000US42003070800,42003070800,"Census Tract 708, Allegheny County, Pennsylvania",1705,100.0,1670,97.9,1265,74.2,84,4.9,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,306,17.9,1,0.1,13,0.8,35,2.1,5,0.3,28,1.6,0,0.0,2,0.1,1705,100.0,63,3.7,16,0.9,6,0.4,4,0.2,37,2.2,1642,96.3,1705,100.0,1670,97.9,61,3.6,1609,94.4,35,2.1,2,0.1,33,1.9
1400000US42003070900,42003070900,"Census Tract 709, Allegheny County, Pennsylvania",4934,100.0,4833,98.0,2965,60.1,353,7.2,5,0.1,1,0.0,0,0.0,0,0.0,4,0.1,1460,29.6,4,0.1,46,0.9,101,2.0,15,0.3,80,1.6,0,0.0,6,0.1,4934,100.0,176,3.6,28,0.6,30,0.6,20,0.4,98,2.0,4758,96.4,4934,100.0,4833,98.0,165,3.3,4668,94.6,101,2.0,11,0.2,90,1.8
1400000US42003080200,42003080200,"Census Tract 802, Allegheny County, Pennsylvania",1679,100.0,1654,98.5,1514,90.2,84,5.0,2,0.1,2,0.1,0,0.0,0,0.0,0,0.0,41,2.4,1,0.1,12,0.7,25,1.5,5,0.3,17,1.0,0,0.0,3,0.2,1679,100.0,32,1.9,6,0.4,7,0.4,8,0.5,11,0.7,1647,98.1,1679,100.0,1654,98.5,26,1.5,1628,97.0,25,1.5,6,0.4,19,1.1
1400000US42003080400,42003080400,"Census Tract 804, Allegheny County, Pennsylvania",1369,100.0,1338,97.7,1033,75.5,98,7.2,2,0.1,2,0.1,0,0.0,0,0.0,0,0.0,199,14.5,0,0.0,6,0.4,31,2.3,4,0.3,23,1.7,0,0.0,4,0.3,1369,100.0,40,2.9,8,0.6,6,0.4,2,0.1,24,1.8,1329,97.1,1369,100.0,1338,97.7,33,2.4,1305,95.3,31,2.3,7,0.5,24,1.8
1400000US42003080600,42003080600,"Census Tract 806, Allegheny County, Pennsylvania",1998,100.0,1965,98.3,1643,82.2,172,8.6,3,0.2,3,0.2,0,0.0,0,0.0,0,0.0,128,6.4,0,0.0,19,1.0,33,1.7,0,0.0,29,1.5,0,0.0,4,0.2,1998,100.0,54,2.7,8,0.4,4,0.2,2,0.1,40,2.0,1944,97.3,1998,100.0,1965,98.3,52,2.6,1913,95.7,33,1.7,2,0.1,31,1.6
1400000US42003080700,42003080700,"Census Tract 807, Allegheny County, Pennsylvania",1785,100.0,1744,97.7,1120,62.7,362,20.3,13,0.7,9,0.5,0,0.0,0,0.0,4,0.2,226,12.7,0,0.0,23,1.3,41,2.3,1,0.1,37,2.1,1,0.1,2,0.1,1785,100.0,76,4.3,18,1.0,9,0.5,2,0.1,47,2.6,1709,95.7,1785,100.0,1744,97.7,74,4.1,1670,93.6,41,2.3,2,0.1,39,2.2
1400000US42003080900,42003080900,"Census Tract 809, Allegheny County, Pennsylvania",1767,100.0,1713,96.9,1352,76.5,246,13.9,4,0.2,2,0.1,0,0.0,0,0.0,2,0.1,92,5.2,1,0.1,18,1.0,54,3.1,5,0.3,47,2.7,0,0.0,2,0.1,1767,100.0,48,2.7,15,0.8,13,0.7,0,0.0,20,1.1,1719,97.3,1767,100.0,1713,96.9,45,2.5,1668,94.4,54,3.1,3,0.2,51,2.9
1400000US42003090100,42003090100,"Census Tract 901, Allegheny County, Pennsylvania",1843,100.0,1800,97.7,1541,83.6,226,12.3,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,17,0.9,0,0.0,15,0.8,43,2.3,3,0.2,40,2.2,0,0.0,0,0.0,1843,100.0,26,1.4,10,0.5,5,0.3,1,0.1,10,0.5,1817,98.6,1843,100.0,1800,97.7,21,1.1,1779,96.5,43,2.3,5,0.3,38,2.1
1400000US42003090200,42003090200,"Census Tract 902, Allegheny County, Pennsylvania",2635,100.0,2592,98.4,2317,87.9,196,7.4,2,0.1,2,0.1,0,0.0,0,0.0,0,0.0,61,2.3,0,0.0,16,0.6,43,1.6,6,0.2,35,1.3,0,0.0,2,0.1,2635,100.0,52,2.0,18,0.7,9,0.3,4,0.2,21,0.8,2583,98.0,2635,100.0,2592,98.4,40,1.5,2552,96.9,43,1.6,12,0.5,31,1.2
1400000US42003090300,42003090300,"Census Tract 903, Allegheny County, Pennsylvania",1629,100.0,1585,97.3,1344,82.5,139,8.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,82,5.0,1,0.1,19,1.2,44,2.7,3,0.2,33,2.0,3,0.2,5,0.3,1629,100.0,45,2.8,14,0.9,10,0.6,3,0.2,18,1.1,1584,97.2,1629,100.0,1585,97.3,40,2.5,1545,94.8,44,2.7,5,0.3,39,2.4
1400000US42003100500,42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",2079,100.0,2015,96.9,600,28.9,1397,67.2,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,13,0.6,0,0.0,4,0.2,64,3.1,5,0.2,48,2.3,4,0.2,7,0.3,2079,100.0,17,0.8,2,0.1,2,0.1,2,0.1,11,0.5,2062,99.2,2079,100.0,2015,96.9,8,0.4,2007,96.5,64,3.1,9,0.4,55,2.6
1400000US42003101100,42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",2669,100.0,2590,97.0,1754,65.7,751,28.1,10,0.4,1,0.0,0,0.0,0,0.0,9,0.3,37,1.4,1,0.0,37,1.4,79,3.0,11,0.4,60,2.2,0,0.0,8,0.3,2669,100.0,83,3.1,38,1.4,18,0.7,5,0.2,22,0.8,2586,96.9,2669,100.0,2590,97.0,71,2.7,2519,94.4,79,3.0,12,0.4,67,2.5
1400000US42003101400,42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",3346,100.0,3266,97.6,2652,79.3,552,16.5,3,0.1,2,0.1,0,0.0,0,0.0,1,0.0,33,1.0,2,0.1,24,0.7,80,2.4,6,0.2,66,2.0,1,0.0,7,0.2,3346,100.0,52,1.6,21,0.6,13,0.4,1,0.0,17,0.5,3294,98.4,3346,100.0,3266,97.6,46,1.4,3220,96.2,80,2.4,6,0.2,74,2.2
1400000US42003101600,42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",857,100.0,843,98.4,51,6.0,789,92.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2,0,0.0,1,0.1,14,1.6,0,0.0,12,1.4,0,0.0,2,0.2,857,100.0,4,0.5,1,0.1,0,0.0,0,0.0,3,0.4,853,99.5,857,100.0,843,98.4,4,0.5,839,97.9,14,1.6,0,0.0,14,1.6
1400000US42003101700,42003101700,"Census Tract 1017, Allegheny County, Pennsylvania",1465,100.0,1423,97.1,278,19.0,1067,72.8,4,0.3,3,0.2,0,0.0,0,0.0,1,0.1,66,4.5,1,0.1,7,0.5,42,2.9,5,0.3,33,2.3,2,0.1,2,0.1,1465,100.0,21,1.4,2,0.1,8,0.5,0,0.0,11,0.8,1444,98.6,1465,100.0,1423,97.1,15,1.0,1408,96.1,42,2.9,6,0.4,36,2.5
1400000US42003101800,42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",2522,100.0,2467,97.8,1971,78.2,446,17.7,10,0.4,2,0.1,0,0.0,0,0.0,8,0.3,27,1.1,0,0.0,13,0.5,55,2.2,3,0.1,52,2.1,0,0.0,0,0.0,2522,100.0,49,1.9,22,0.9,4,0.2,2,0.1,21,0.8,2473,98.1,2522,100.0,2467,97.8,36,1.4,2431,96.4,55,2.2,13,0.5,42,1.7
1400000US42003110200,42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",3971,100.0,3854,97.1,2500,63.0,1166,29.4,10,0.3,2,0.1,0,0.0,0,0.0,8,0.2,142,3.6,0,0.0,36,0.9,117,2.9,8,0.2,97,2.4,1,0.0,11,0.3,3971,100.0,118,3.0,27,0.7,17,0.4,6,0.2,68,1.7,3853,97.0,3971,100.0,3854,97.1,114,2.9,3740,94.2,117,2.9,4,0.1,113,2.8
